StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
PUNJAB,BHATINDA,TALWANDI SABO,NA,AGRICULTURE,Cereals,Wheat,	Water Management	,Farmer asked query on Weather,ਮੌਸਮ -ਅੱਜ ਮੌਸਮ ਬੱਦਲ ਵਾਈ ਵਾਲਾ ਰਹੇਗਾ ਮੀਂਹ ਦੀ ਕੋਈ ਸੰਭਾਵਨਾ ਨਹੀਂ ਹੈ |  ਵੱਧ ਤੋਂ ਵੱਧ ਤਾਪਮਾਨ 19 ਡਿਗਰੀ ਸੈਲਸੀਅਸ ਅਤੇ ਘੱਟ ਤੋਂ ਘੱਟ 5 ਡਿਗਰੀ ਸੈਲਸੀਅਸ ਰਹੇਗਾ ਅਤੇ ਹਵਾ ਦੀ ਗਤੀ 10-15 ਕਿਲੋਮੀਟਰ ਪ੍ਰਤੀ ਘੰਟਾ ਹੈ ,2025-01-01T11:17:09.3,2025,1
PUNJAB,BHATINDA,BATHINDA,NA,AGRICULTURE,Cereals,Wheat,Weed Management,"Information regarding the combine control of grassy weeds and broad leaf weeds in wheat ?
","ਕਣਕ ਦੀ ਫਸਲ ਵਿੱਚ ਘਾਹ ਵਾਲੇ ਨਦੀਨਾਂ ਅਤੇ ਚੌੜੇ ਪੱਤੇ ਵਾਲੇ ਨਦੀਨਾਂ ਦੀ ਰੋਕਥਾਮ ਲਈ 16 ਗ੍ਰਾਮ ਟੋਟਲ/ਮਾਰਕਪਾਵਰ 75 ਡਬਲਯੂ ਜੀ (ਸਲਫੋਸਲਫੂਰਾਨ 75 ਡਬਲਯੂ +ਮੈਟਸਲਫੂਰਾਨ 5 ਡਬਲਯੂ ਜੀ) ਜਾਂ 160 ਗ੍ਰਾਮ ਐਟਲਾਂਟਿਸ 3.6 ਡਬਲਯੂ ਡੀ ਜੀ (ਮਿਜੋਸਲਫੂਰਾਨ 3% ਡਬਲਯੂ ਡੀ ਜੀ+ਆਇਡੋਸਲਫੂਰਾਨ 0.6% ਡਬਲਯੂ ਡੀ ਜੀ) ਜਾਂ 500 ਮਿਲੀਲੀਟਰ ਅਕੋਰਡ ਪਲੱਸ 22 ਈ ਸੀ (ਫਿਨੋਕਸਪਰੋਪ 8% ਈ ਸੀ+ ਮੈਟਰੀਬਿਊਜਿਨ 14%) ਜਾਂ 200 ਗ੍ਰਾਮ ਸ਼ਗੁਨ 21-11(ਕਲੋਡੀਨਾਫੌਪ 12%+ਮੈਟਰੀਬਿਉਜਿਨ 42%) ਜਾਂ 240 ਗ੍ਰਾਮ ਏ.ਸੀ.ਐੱਮ-9 ਡਬਲਯੂ ਪੀ (ਕਲੋਡੀਨਾਫੌਪ 9%+ਮੈਟਰੀਬਿਉਜਿਨ 20%) ਜਾਂ 500 ਗ੍ਰਾਮ ਆਈਸੋਪ੍ਰੋਟੋਯੂਰੋਨ 75 ਡਬਲਯੂ ਪੀ ਜਾਂ 160 ਗ੍ਰਾਮ ਟੌਪਿਕ(ਕਲੋਡੀਨਾਫਾਪ 15 ਡਬਲਯੂ ਪੀ) ਜਾਂ 400 ਮਿਲੀਲੀਟਰ ਪਿਊਮਾ ਪਾਵਰ(ਫਿਨੋਕਸਾਪ੍ਰੋਪ-ਪੀ-ਈਥਾਈਲ 10 ਈ ਸੀ) ਨੂੰ 250 ਗ੍ਰਾਮ 2,4-ਡੀ ਸੋਡੀਅਮ ਸਾਲ੍ਟ 80 ਡਬਲਯੂ ਪੀ ਜਾਂ 250 ਮਿਲੀਲੀਟਰ ਈਥਾਇਲ ਐਸਟਰ 38 ਈ ਸੀ ਜਾਂ 10 ਗ੍ਰਾਮ ਐਲਗ੍ਰਿਪ/ਐਲਗਰਿਪ ਰਾਇਲ/ਮਾਰਕਗਰਿਪ/ਮਾਕੋਤੋ (ਮੈਟਸਲਫੂਰਾਨ 20 ਡਬਲਯੂ ਪੀ) ਟੈਂਕ ਮਿਕਸ ਕਰਕੇ ਨੂੰ 150 ਲੀਟਰ ਪਾਣੀ ਵਿੱਚ ਪਾ ਕੇ ਪਹਿਲੇ ਪਾਣੀ ਤੋਂ ਬਾਅਦ ਕਣਕ ਦੀ ਬਿਜਾਈ ਦੇ 35-45 ਦਿਨਾਂ ਅੰਦਰ ਛਿੜਕਾਅ ਕਰੋ ਅਕੋਰਡ ਪਲੱਸ 22 ਈ ਸੀ, ਏ.ਸੀ.ਐੱਮ-9 ਅਤੇ ਸ਼ਗੁਨ 21-11 ਨੂੰ ਕਣਕ ਦੀ ਪੀ ਬੀ ਡਬਲਯੂ 550, ਅਤੇ ਉੱਨਤ ਪੀ ਬੀ ਡਬਲਯੂ 550 ਕਿਸਮ 'ਤੇ ਛਿੜਕਾਅ ਨਾ ਕਰੋ",2025-01-01T13:05:50.44,2025,1
PUNJAB,BHATINDA,BATHINDA,NA,AGRICULTURE,Cereals,Wheat,Weed Management,Information regarding control of  broad leaf weeds control in wheat ?,"ਕਣਕ ਦੀ ਫਸਲ ਵਿੱਚ ਚੌੜੇ ਪੱਤਿਆਂ ਵਾਲੇ ਨਦੀਨਾਂ ਦੀ ਰੋਕਥਾਮ ਲਈ 250 ਗ੍ਰਾਮ 2,4-ਡੀ ਸੋਡੀਅਮ ਸਾਲ੍ਟ 80 ਡਬਲਯੂ ਪੀ ਜਾਂ 250 ਮਿਲੀਲੀਟਰ ਈਥਾਇਲ ਐਸਟਰ 38 ਈ ਸੀ ਜਾਂ 10 gram ਐਲਗ੍ਰਿਪ/ਐਲਗਰਿਪ ਰਾਇਲ/ਮਾਰਕਗਰਿਪ/ਮਾਕੋਤੋ (ਮੈਟਸਲਫੂਰਾਨ 20 ਡਬਲਯੂ ਪੀ) ਜਾਂ 20 ਗ੍ਰਾਮ ਏਮ/ਐਫ਼ੀਨਿਟੀ (ਕਾਰਫੈਨਟਰਾਜੋਨ ਈਥਾਇਲ 40 ਡੀ ਐੱਫ) ਜਾਂ 20 ਗ੍ਰਾਮ ਲਾਂਫ਼ਿਡਾ (ਮੈਟਸਲਫੂਰਾਨ + ਕਾਰਫੈਨਟਰਾਜੋਨ) ਨੂੰ 150 ਲੀਟਰ ਪਾਣੀ ਵਿੱਚ ਪਹਿਲੇ ਪਾਣੀ ਤੋਂ ਬਾਅਦ ਫਸਲ ਦੀ ਬਿਜਾਈ ਦੇ 30-35 ਦਿਨਾਂ ਦੇ ਅੰਦਰ ਛਿੜਕਾਅ ਕਰੋ ਅਤੇ ਜੇਕਰ ਕਣਕ ਦੇ ਨਾਲ ਕੋਈ ਵੀ ਚੌੜੇ ਪੱਤੇ ਵਾਲੇ ਫਸਲ ਬੀਜੀ ਹੋਵੇ ਤਾਂ ਹਨ ਵਿੱਚੋਂ ਕਿਸੇ ਵੀ ਨਦੀਨਨਾਸ਼ਕ ਦੀ ਵਰਤੋਂ ਨਹੀਂ ਕੀਤੀ ਜਾ ਸਕਦੀ",2025-01-01T14:35:09.38,2025,1
PUNJAB,BHATINDA,RAMPURA,NA,AGRICULTURE,Cereals,Wheat,	Plant Protection	,"Information regarding the control of Flag smut or leaf smut in wheat ?
",ਸਿੱਟੇ ਅਤੇ ਪੱਤਿਆਂ ਦੀ ਕਾਂਗਿਆਰੀ ਦੀ ਰੋਕਥਾਮ ਲਈ ਕਣਕ ਦੇ ਬੀਜ ਨੂੰ 13 ਮਿਲੀ ਰੈਕਸਿਲ ਈਜੀ /ਓਰੀਅਸ 6 ਐੱਫ ਐੱਸ (ਟੈਬੂਕੋਨਾਜੋਲ)ਨੂੰ 400 ਮਿਲੀਲੀਟਰ ਪਾਣੀ ਵਿੱਚ ਘੋਲ ਕੇ 40 ਕਿਲੋ ਬੀਜ ਨੂੰ ਸੋਧੋ ਜਾਂ 120 ਗ੍ਰਾਮ ਵੀਟਾਵੈਕਸ ਪਾਵਰ 75 ਡਬਲਯੂ ਐੱਸ (ਕਾਰਬੋਕਸਿਨ+ਟੈਟਰਾਮੀਥਾਈਲ ਥਾਇਯੂਰਮ ਡਾਈਸਲਫਾਈਡ) ਜਾਂ 80 ਗ੍ਰਾਮ ਵੀਟਾਵੈਕਸ 75 ਡਬਲਯੂ ਪੀ (ਕਾਰਬੋਕਸਿਨ) ਜਾਂ 40 ਗ੍ਰਾਮ ਟੈਬੁਸੀਡ/ਸੀਡੇਕ੍ਸ/ਐਕਸਜੋਲ 2  ਡੀ ਐੱਸ (ਟੈਬੂਕੋਨਾਜੋਲ)ਪ੍ਰਤੀ 40 ਕਿਲੋ ਬੀਜ ਦੇ ਹਿਸਾਬ ਨਾਲ ਸੋਧੋ  ,2025-01-02T12:18:38.103,2025,1
PUNJAB,BHATINDA,BATHINDA,NA,AGRICULTURE,Cereals,Wheat,Weed Management,"Information regarding control of  broad leaf weeds control in wheat ?
","ਕਣਕ ਦੀ ਫਸਲ ਵਿੱਚ ਚੌੜੇ ਪੱਤਿਆਂ ਵਾਲੇ ਨਦੀਨਾਂ ਦੀ ਰੋਕਥਾਮ ਲਈ 250 ਗ੍ਰਾਮ 2,4-ਡੀ ਸੋਡੀਅਮ ਸਾਲ੍ਟ 80 ਡਬਲਯੂ ਪੀ ਜਾਂ 250 ਮਿਲੀਲੀਟਰ ਈਥਾਇਲ ਐਸਟਰ 38 ਈ ਸੀ ਜਾਂ 10 gram ਐਲਗ੍ਰਿਪ/ਐਲਗਰਿਪ ਰਾਇਲ/ਮਾਰਕਗਰਿਪ/ਮਾਕੋਤੋ (ਮੈਟਸਲਫੂਰਾਨ 20 ਡਬਲਯੂ ਪੀ) ਜਾਂ 20 ਗ੍ਰਾਮ ਏਮ/ਐਫ਼ੀਨਿਟੀ (ਕਾਰਫੈਨਟਰਾਜੋਨ ਈਥਾਇਲ 40 ਡੀ ਐੱਫ) ਜਾਂ 20 ਗ੍ਰਾਮ ਲਾਂਫ਼ਿਡਾ (ਮੈਟਸਲਫੂਰਾਨ + ਕਾਰਫੈਨਟਰਾਜੋਨ) ਨੂੰ 150 ਲੀਟਰ ਪਾਣੀ ਵਿੱਚ ਪਹਿਲੇ ਪਾਣੀ ਤੋਂ ਬਾਅਦ ਫਸਲ ਦੀ ਬਿਜਾਈ ਦੇ 30-35 ਦਿਨਾਂ ਦੇ ਅੰਦਰ ਛਿੜਕਾਅ ਕਰੋ ਅਤੇ ਜੇਕਰ ਕਣਕ ਦੇ ਨਾਲ ਕੋਈ ਵੀ ਚੌੜੇ ਪੱਤੇ ਵਾਲੇ ਫਸਲ ਬੀਜੀ ਹੋਵੇ ਤਾਂ ਹਨ ਵਿੱਚੋਂ ਕਿਸੇ ਵੀ ਨਦੀਨਨਾਸ਼ਕ ਦੀ ਵਰਤੋਂ ਨਹੀਂ ਕੀਤੀ ਜਾ ਸਕਦੀ
",2025-01-02T14:51:23.73,2025,1
PUNJAB,BHATINDA,PHUL,NA,AGRICULTURE,Cereals,Wheat,Weed Management,"Information regarding the control of grassy leaf weeds in wheat after first irrigation ?
",ਕਣਕ ਦੀ ਫ਼ਸਲ ਵਿਚ ਘਾਹ ਵਾਲੇ ਨਦੀਨਾਂ ਦੀ ਰੋਕਥਾਮ ਲਈ 500  ਗ੍ਰਾਮ ਆਈਸੋਪ੍ਰੋਟੋਯੂਰੋਨ 75 ਡਬਲਯੂ ਪੀ ਜਾਂ 160 ਗ੍ਰਾਮ ਟੌਪਿਕ (ਕਲੋਡੀਨਾਫਾਪ 15 ਡਬਲਯੂ ਪੀ) ਜਾਂ 400 ਮਿਲਿਲੀਟਰ ਐਕਸੀਅਲ (ਪਿਨੋਕਸਾਡੀਨ 5 ਈ ਸੀ) ਜਾਂ 400 ਮਿਲੀਲੀਟਰ ਪਿਊਮਾ ਪਾਵਰ(ਫਿਨੋਕਸਾਪ੍ਰੋਪ-ਪੀ-ਈਥਾਈਲ 10 ਈ ਸੀ) ਜਾਂ 13 ਗ੍ਰਾਮ ਲੀਡਰ  (ਸਲਫੋਸਲਫੂਰਾਨ) ਨੂੰ 150 ਲੀਟਰ ਪਾਣੀ ਵਿੱਚ ਪਾ ਕੇ ਪਹਿਲੇ ਪਾਣੀ ਤੋਂ ਬਾਅਦ ਕਣਕ ਦੀ ਬਿਜਾਈ ਦੇ 30-35 ਦਿਨਾਂ ਦੇ ਅੰਦਰ ਛਿੜਕਾਅ ਕਰੋ ਜਿਹਨਾਂ ਖੇਤਾਂ ਵਿੱਚ ਕੋਈ ਵੀ ਚੌੜੇ ਪੱਤੇ ਵਾਲੀ ਫਸਲ ਕਣਕ ਨਾਲ ਰਲਾ ਕੇ ਬੀਜੀ ਹੋਵੇ ਉੱਥੇ ਸਲਫੋਸਲਫੂਰਾਨ ਦਾ ਛਿੜਕਾਅ ਨਾ ਕਰੋ ਜਿਹਨਾਂ ਖੇਤਾਂ ਵਿੱਚ ਸਲਫੋਸਲਫੂਰਾਨ ਦਾ ਛਿੜਕਾਅ ਕੀਤਾ ਹੋਵੇ ਉੱਥੇ ਸਾਉਣੀ ਵਿੱਚ ਚਰੀ ਜਾਂ ਮੱਕੀ ਦੀ ਬਿਜਾਈ ਨਾ ਕਰੋ ,2025-01-02T16:25:36.07,2025,1
PUNJAB,BHATINDA,BATHINDA,NA,AGRICULTURE,Cereals,Wheat,Nutrient Management,"Information regarding the better growth of wheat after applied recommended dose of urea?
",ਯੂਰੀਆ ਦੀ ਸਿਫਾਰਿਸ਼ ਕੀਤੀ ਗਈ ਮਾਤਰਾ ਫਸਲ ਨੂੰ ਪਾਉਣ ਤੋਂ ਬਾਅਦ ਵੀ ਜੇਕਰ ਫਸਲ ਦਾ ਵਾਧਾ ਪੂਰੀ ਤਰ੍ਹਾਂ ਨਾ ਹੋਵੇ ਤਾਂ 1 ਕਿੱਲੋ ਐੱਨ.ਪੀ.ਕੇ 19:19:19 ਨੂੰ 100 ਲੀਟਰ ਪਾਣੀ ਵਿੱਚ ਪਾ ਕੇ ਪ੍ਰਤੀ ਏਕੜ ਛਿੜਕਾਅ ਕਰੋ ,2025-01-02T17:56:56.943,2025,1
PUNJAB,BHATINDA,TALWANDI SABO,NA,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Cattle shed Planning and Management,"Information regarding the contact number of  Animal Husbandry Department of BATHINDA?
", ਬਠਿੰਡਾ ਜਿਲ੍ਹੇ ਦੇ ਪਸ਼ੂ ਪਾਲਣ ਵਿਭਾਗ ਦਾ ਨੰਬਰ 0164-2212767.,2025-01-03T12:39:28.08,2025,1
PUNJAB,BHATINDA,TALWANDI SABO,NA,AGRICULTURE,Cereals,Wheat,Nutrient Management,Information regarding total fertilizer application in Wheat crop?,"ਕਣਕ ਦੀ ਫਸਲ ਵਿੱਚ ਸਾਰੀ ਫਾਸਫੋਰਸ ਜਾਂ ਡੀ.ਏ.ਪੀ ਅਤੇ ਸਾਰੀ ਪੋਟਾਸ਼ ਬਿਜਾਈ ਸਮੇਂ ਪਾਓ ਅਤੇ 90 ਕਿਲੋ ਯੂਰੀਆ ਨੂੰ 2 ਬਰਾਬਰ ਕਿਸਤਾਂ ਵਿੱਚ ਵੰਡ ਕੇ ਪਹਿਲੇ ਅਤੇ ਦੂਜੇ ਪਾਣੀ ਸਮੇਂ ਪਾਓ ,ਕਣਕ ਦੀ ਫਸਲ ਵਿੱਚ ਯੂਰੀਆ ਦੀ ਸਿਫਾਰਿਸ਼ ਕੀਤੀ ਗਈ ਮਾਤਰਾ ਨੂੰ ਕਣਕ ਦੀ ਬਿਜਾਈ ਦੇ 55 ਦਿਨਾਂ ਦੇ ਅੰਦਰ ਪੂਰਾ ਕਰ ਦਿਓ ",2025-01-03T12:44:56.39,2025,1
PUNJAB,BHATINDA,MAUR,NA,AGRICULTURE,Cereals,Wheat,	Water Management	,Farmer asked query on Weather,ਮੌਸਮ -ਅੱਜ ਮੌਸਮ ਬੱਦਲ ਵਾਈ ਵਾਲਾ ਰਹੇਗਾ ਮੀਂਹ ਦੀ ਕੋਈ ਸੰਭਾਵਨਾ ਨਹੀਂ ਹੈ |  ਵੱਧ ਤੋਂ ਵੱਧ ਤਾਪਮਾਨ 19 ਡਿਗਰੀ ਸੈਲਸੀਅਸ ਅਤੇ ਘੱਟ ਤੋਂ ਘੱਟ 5 ਡਿਗਰੀ ਸੈਲਸੀਅਸ ਰਹੇਗਾ ਅਤੇ ਹਵਾ ਦੀ ਗਤੀ 10-15 ਕਿਲੋਮੀਟਰ ਪ੍ਰਤੀ ਘੰਟਾ ਹੈ ,2025-01-03T13:15:03.607,2025,1
